,TRIP.CODE,HAUL.CODE,YEAR,Gear.Class,MESH.SIZE.RANGE,TargetAssemblage,metier5,metier6,CHECK
6218,PH222HL,2,2022,LHM,xxx,FIF,LHM_FIF,LHM_FIF_xxx,1
6219,PH222HL,4,2022,LHM,xxx,FIF,LHM_FIF,LHM_FIF_xxx,1
6225,PH222HL,3,2022,LHM,xxx,FIF,LHM_FIF,LHM_FIF_xxx,1
6239,PH222HL,1,2022,LHM,xxx,FIF,LHM_FIF,LHM_FIF_xxx,1
6243,BH222NT,1,2022,OTB,70-99,CRU,OTB_CRU,OTB_CRU_70-99,1
6409,MY222GN,3,2022,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
6410,MY222GN,2,2022,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
6422,MY222GN,4,2022,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
6423,MY222GN,1,2022,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
6434,MY222GN,5,2022,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
6463,TY3220T,2,2022,OTB,70-99,MOL,OTB_MOL,OTB_MOL_70-99,1
6470,TY3220T,1,2022,OTB,70-99,MOL,OTB_MOL,OTB_MOL_70-99,1
6679,TY122OT,2,2022,OTB,>=120,MOL,OTB_MOL,OTB_MOL_>=120,1
6690,TY122OT,1,2022,OTB,>=120,MOL,OTB_MOL,OTB_MOL_>=120,1
6913,NN422OT,1,2022,OTB,>=120,DEF,OTB_DEF,OTB_DEF_>=120,1
6917,NN422OT,2,2022,OTB,>=120,DEF,OTB_DEF,OTB_DEF_>=120,1
7178,LE222OT,3,2022,OTB,>=120,DEF,OTB_DEF,OTB_DEF_>=120,1
7179,LE222OT,2,2022,OTB,>=120,DEF,OTB_DEF,OTB_DEF_>=120,1
7341,LS1220T,3,2022,OTB,70-99,MOL,OTB_MOL,OTB_MOL_70-99,1
7342,LS1220T,2,2022,OTB,70-99,MOL,OTB_MOL,OTB_MOL_70-99,1
7345,LS1220T,1,2022,OTB,70-99,MOL,OTB_MOL,OTB_MOL_70-99,1
7660,LE622OT,1,2022,OTB,>=120,MOL,OTB_MOL,OTB_MOL_>=120,1
7662,LE622OT,2,2022,OTB,70-99,MOL,OTB_MOL,OTB_MOL_70-99,1
7857,LS322OT,2,2022,OTB,70-99,MOL,OTB_MOL,OTB_MOL_70-99,1
7859,LS322OT,1,2022,OTB,70-99,MOL,OTB_MOL,OTB_MOL_70-99,1
7863,LS322OT,3,2022,OTB,70-99,MOL,OTB_MOL,OTB_MOL_70-99,1
7876,LS322OT,7,2022,OTB,70-99,MOL,OTB_MOL,OTB_MOL_70-99,1
7882,LS322OT,5,2022,OTB,70-99,MOL,OTB_MOL,OTB_MOL_70-99,1
8084,LS322OT,4,2022,OTB,70-99,MOL,OTB_MOL,OTB_MOL_70-99,1
8618,NN922OT,2,2022,OTB,>=120,DEF,OTB_DEF,OTB_DEF_>=120,1
8619,NN922OT,1,2022,OTB,>=120,DEF,OTB_DEF,OTB_DEF_>=120,1
8995,PH222BT,8,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
8996,PH222BT,1,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
8999,PH222BT,7,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
9002,PH222BT,45,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
9016,LE522OT,2,2022,OTB,>=120,DEF,OTB_DEF,OTB_DEF_>=120,1
9072,PH222BT,47,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
9074,PH222BT,19,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
9105,PH222BT,4,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
9114,PH222BT,44,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
9194,PH222BT,52,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
9203,PH222BT,20,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
9304,PH222BT,11,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
9335,PH222BT,43,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
9356,PH222BT,12,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
9430,LE522OT,1,2022,OTB,>=120,DEF,OTB_DEF,OTB_DEF_>=120,1
9552,PH222BT,14,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
9571,PH222BT,55,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
9620,PH222BT,3,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
9645,HD122GN,1,2022,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
9700,PH222BT,16,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
9800,PH222BT,51,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
9888,PH222BT,46,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
9927,PH222BT,21,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
10164,PH222BT,13,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
10252,PH222BT,28,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
10395,PH222BT,29,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
10406,PH222BT,35,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
10528,PH222BT,27,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
10621,PH222BT,40,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
10662,PH222BT,15,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
10793,PH222BT,22,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
10892,PH222BT,59,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
11178,PH222BT,56,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
11256,PH222BT,36,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
11499,PH222BT,48,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
12256,PH922OT,3,2022,OTB,>=120,DEF,OTB_DEF,OTB_DEF_>=120,1
12267,PH922OT,4,2022,OTB,>=120,DEF,OTB_DEF,OTB_DEF_>=120,1
12274,PH922OT,5,2022,OTB,>=120,DEF,OTB_DEF,OTB_DEF_>=120,1
12402,PH922OT,1,2022,OTB,>=120,DEF,OTB_DEF,OTB_DEF_>=120,1
13023,LE122OT,2,2022,OTB,70-99,DEF,OTB_DEF,OTB_DEF_70-99,1
13037,LE122OT,1,2022,OTB,70-99,DEF,OTB_DEF,OTB_DEF_70-99,1
15186,NN622BT,40,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
15189,NN622BT,3,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
15191,NN622BT,13,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
15203,NN622BT,2,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
15266,NN622BT,19,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
15279,NN622BT,20,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
15289,NN822BT,17,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
15333,NN622BT,18,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
15340,NN622BT,6,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
15494,NN622BT,26,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
15753,NN622BT,7,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
15756,NN622BT,12,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
15931,NN622BT,17,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
16231,NN622BT,48,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
16292,NN622BT,25,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
16370,NN622BT,9,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
16417,NN622BT,30,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
16439,NN622BT,8,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
16656,NN822BT,3,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
16756,NN822BT,5,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
16890,NN822BT,6,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
17033,NN822BT,7,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
17154,NN822BT,9,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
17438,NN822BT,10,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
17489,NN822BT,12,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
17750,NN622BT,27,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
17838,NN622BT,32,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
17988,NN822BT,16,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
18121,NN622BT,43,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
18134,NN622BT,44,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
18326,NN622BT,45,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
184881,NN622BT,46,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
18731,NN822BT,13,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
19033,NN822BT,25,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
19035,NN622BT,50,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
19155,NN622BT,51,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
19531,NN622BT,37,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
19536,NN622BT,38,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
19697,NN622BT,39,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
19862,NN622BT,31,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
20025,NN622BT,42,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
20163,NN622BT,35,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
20326,NN622BT,36,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
20624,NN822BT,21,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
21477,NN622BT,52,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
21521,NN822BT,20,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
21796,NN822BT,22,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
22129,NN622BT,49,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
22202,NN822BT,14,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
22493,NN822BT,24,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
22727,NN822BT,23,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
23607,BM922BT,34,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
23608,BM922BT,14,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
23609,BM922BT,30,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
23614,BM922BT,9,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
23630,BM922BT,5,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
23657,BM922BT,35,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
23667,BM922BT,13,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
23687,BM922BT,36,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
23692,BM922BT,25,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
23707,BM922BT,3,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
23743,BM922BT,12,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
23787,BM922BT,32,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
239071,BM922BT,2,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
23931,BM922BT,4,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
24030,BM922BT,21,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
24070,BM922BT,33,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
24147,BM922BT,22,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
24151,BM922BT,23,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
24394,BM922BT,18,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
24423,BM922BT,31,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
24636,BM922BT,11,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
25723,BR122GN,2,2022,GTR,xxx,DEF,GTR_DEF,GTR_DEF_xxx,1
25724,BR122GN,3,2022,GTR,xxx,DEF,GTR_DEF,GTR_DEF_xxx,1
25725,BR122GN,4,2022,GTR,xxx,DEF,GTR_DEF,GTR_DEF_xxx,1
257281,BR122GN,5,2022,GTR,xxx,DEF,GTR_DEF,GTR_DEF_xxx,1
25729,BR122GN,1,2022,GTR,xxx,DEF,GTR_DEF,GTR_DEF_xxx,1
25734,BR122GN,6,2022,GTR,xxx,DEF,GTR_DEF,GTR_DEF_xxx,1
25859,NY122GN,5,2022,GNS,xxx,CRU,GNS_CRU,GNS_CRU_xxx,1
25860,NY122GN,3,2022,GNS,xxx,CRU,GNS_CRU,GNS_CRU_xxx,1
25865,NY122GN,4,2022,GNS,xxx,CRU,GNS_CRU,GNS_CRU_xxx,1
25868,NY122GN,2,2022,GNS,xxx,CRU,GNS_CRU,GNS_CRU_xxx,1
25895,NY122GN,6,2022,GNS,xxx,CRU,GNS_CRU,GNS_CRU_xxx,1
25949,NY122GN,1,2022,GNS,xxx,CRU,GNS_CRU,GNS_CRU_xxx,1
26123,NY122GN,7,2022,GNS,xxx,CRU,GNS_CRU,GNS_CRU_xxx,1
26262,NY222GN,2,2022,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
26264,NY222GN,1,2022,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
26412,KN322BS,2,2022,TBB,16-31,CRU,TBB_CRU,TBB_CRU_16-31,1
26413,KN222BS,3,2022,TBB,16-31,CRU,TBB_CRU,TBB_CRU_16-31,1
26414,KN222BS,10,2022,TBB,16-31,CRU,TBB_CRU,TBB_CRU_16-31,1
26435,KN222BS,9,2022,TBB,16-31,CRU,TBB_CRU,TBB_CRU_16-31,1
26448,KN122BS,3,2022,TBB,16-31,CRU,TBB_CRU,TBB_CRU_16-31,1
26455,KN322BS,1,2022,TBB,16-31,CRU,TBB_CRU,TBB_CRU_16-31,1
26459,KN222BS,5,2022,TBB,16-31,CRU,TBB_CRU,TBB_CRU_16-31,1
26466,KN122BS,1,2022,TBB,16-31,CRU,TBB_CRU,TBB_CRU_16-31,1
26470,KN222BS,11,2022,TBB,16-31,CRU,TBB_CRU,TBB_CRU_16-31,1
26480,KN222BS,16,2022,TBB,16-31,CRU,TBB_CRU,TBB_CRU_16-31,1
26485,KN322BS,3,2022,TBB,16-31,CRU,TBB_CRU,TBB_CRU_16-31,1
26521,KN322BS,6,2022,TBB,16-31,CRU,TBB_CRU,TBB_CRU_16-31,1
26593,KN222BS,2,2022,TBB,16-31,CRU,TBB_CRU,TBB_CRU_16-31,1
26667,KN122BS,2,2022,TBB,16-31,CRU,TBB_CRU,TBB_CRU_16-31,1
26775,KN222BS,13,2022,TBB,16-31,CRU,TBB_CRU,TBB_CRU_16-31,1
26823,KN222BS,1,2022,TBB,16-31,CRU,TBB_CRU,TBB_CRU_16-31,1
26827,KN322BS,5,2022,TBB,16-31,CRU,TBB_CRU,TBB_CRU_16-31,1
27145,BM1022BT,3,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
27146,BM1022BT,45,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
27148,BM1022BT,8,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
27150,BM1022BT,2,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
27158,BM1022BT,9,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
27161,BM1022BT,33,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
27229,BM1022BT,34,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
27238,BM1022BT,35,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
27285,BM1022BT,38,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
27308,BM1022BT,39,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
27379,BM1022BT,29,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
27442,BM1022BT,55,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
27515,BM1022BT,40,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
27523,BM1022BT,44,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
27636,BM1022BT,68,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
27806,BM1022BT,70,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
27925,BM1022BT,72,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
28007,BM1022BT,12,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
28160,BM1022BT,69,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
28170,BM1022BT,14,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
28235,BM1022BT,17,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
28308,BM1022BT,59,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
28313,BM1022BT,60,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
28411,BM1022BT,62,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
28608,BM1022BT,63,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
28729,BM1022BT,24,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
28888,BM422OT,3,2022,OTB,70-99,MOL,OTB_MOL,OTB_MOL_70-99,1
28970,PH322BT,59,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
28971,PH322BT,60,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
29097,PH322BT,7,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
29171,PH322BT,10,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
29252,PH322BT,11,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
29318,PH322BT,12,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
29413,PH322BT,13,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
29479,PH322BT,17,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
29701,TY222OT,1,2022,OTB,70-99,MOL,OTB_MOL,OTB_MOL_70-99,1
29818,TY222OT,2,2022,OTB,70-99,MOL,OTB_MOL,OTB_MOL_70-99,1
29910,BM1022BT,47,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
30016,BM1022BT,49,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
30151,BM1022BT,54,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
30327,PH322BT,29,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
30356,PH322BT,30,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
30495,PH322BT,31,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
30553,PH322BT,40,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
30720,PH322BT,18,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
30731,PH322BT,19,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
30794,EX122OT,1,2022,OTB,70-99,MOL,OTB_MOL,OTB_MOL_70-99,1
30887,EX122OT,2,2022,OTB,70-99,MOL,OTB_MOL,OTB_MOL_70-99,1
30939,EX122OT,3,2022,OTB,70-99,MOL,OTB_MOL,OTB_MOL_70-99,1
31002,EX122OT,4,2022,OTB,70-99,MOL,OTB_MOL,OTB_MOL_70-99,1
31060,PH322BT,47,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
31117,PH322BT,48,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
31219,PH322BT,49,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
31319,BM1022BT,13,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
31415,PH322BT,50,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
31419,PH322BT,51,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
31646,BM1022BT,18,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
31715,PH322BT,41,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
318151,PH322BT,42,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
31887,BM1022BT,23,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
32009,BM422OT,1,2022,OTB,70-99,MOL,OTB_MOL,OTB_MOL_70-99,1
32068,BM1022BT,28,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
32362,PH322BT,6,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
32377,PH322BT,27,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
32391,PH322BT,28,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
32542,BM1022BT,22,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
32683,PH322BT,52,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
32878,PH322BT,25,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
32991,PH322BT,20,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
33081,PH322BT,21,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
33218,PH322BT,24,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
33273,BM422OT,2,2022,OTB,70-99,MOL,OTB_MOL,OTB_MOL_70-99,1
33319,PH322BT,26,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
33471,PH322BT,44,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
33718,PH322BT,43,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
33835,PH322BT,2,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
33874,PH322BT,55,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
34005,PH322BT,56,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
34074,PH322BT,5,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
34199,PH322BT,57,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
34202,PH322BT,58,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
34342,PH322BT,4,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
35052,PH322BT,3,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
35716,BM1122BT,23,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
35718,BM1122BT,20,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
35721,BM1122BT,13,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
35728,BM1122BT,22,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
35729,BM1122BT,21,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
35763,BM1122BT,34,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
35778,BM1122BT,2,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
35788,BM1122BT,40,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
35801,BM1122BT,9,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
35819,BM1122BT,3,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
35867,NW822OT,1,2022,OTB,70-99,MOL,OTB_MOL,OTB_MOL_70-99,1
35948,BM622OT,1,2022,OTB,>=120,MOL,OTB_MOL,OTB_MOL_>=120,1
35959,BM622OT,2,2022,OTB,>=120,MOL,OTB_MOL,OTB_MOL_>=120,1
36029,BM722OT,1,2022,OTB,70-99,MOL,OTB_MOL,OTB_MOL_70-99,1
36067,BM1122BT,62,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
36155,BM722OT,4,2022,OTB,70-99,MOL,OTB_MOL,OTB_MOL_70-99,1
36290,BM1122BT,54,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
36310,BM1122BT,25,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
36386,BM1122BT,41,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
36629,BM722OT,3,2022,OTB,70-99,MOL,OTB_MOL,OTB_MOL_70-99,1
36886,BM1122BT,35,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
36918,NW822OT,2,2022,OTB,70-99,MOL,OTB_MOL,OTB_MOL_70-99,1
36947,BM1122BT,63,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
37121,BM1122BT,10,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
37264,BM722OT,2,2022,OTB,70-99,MOL,OTB_MOL,OTB_MOL_70-99,1
37300,NW822OT,3,2022,OTB,70-99,MOL,OTB_MOL,OTB_MOL_70-99,1
37449,BM1122BT,30,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
37579,BM1122BT,57,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
37647,BM1122BT,44,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
37718,BM1122BT,53,2022,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
