,TRIP.CODE,HAUL.CODE,YEAR,Gear.Class,MESH.SIZE.RANGE,TargetAssemblage,metier5,metier6,CHECK
32718,WB123GN,9,2023,FPO,xxx,MOL,FPO_MOL,FPO_MOL_xxx,1
32984,WB123GN,16,2023,FPO,xxx,MOL,FPO_MOL,FPO_MOL_xxx,1
33009,PH223OT,6,2023,OTB,>=120,DEF,OTB_DEF,OTB_DEF_>=120,1
33085,WB123GN,10,2023,FPO,xxx,MOL,FPO_MOL,FPO_MOL_xxx,1
33087,WB123GN,11,2023,FPO,xxx,MOL,FPO_MOL,FPO_MOL_xxx,1
33093,WB123GN,12,2023,FPO,xxx,MOL,FPO_MOL,FPO_MOL_xxx,1
33098,WB123GN,13,2023,FPO,xxx,MOL,FPO_MOL,FPO_MOL_xxx,1
33100,WB123GN,14,2023,FPO,xxx,MOL,FPO_MOL,FPO_MOL_xxx,1
33101,WB123GN,15,2023,FPO,xxx,MOL,FPO_MOL,FPO_MOL_xxx,1
33118,WB123GN,19,2023,FPO,xxx,MOL,FPO_MOL,FPO_MOL_xxx,1
33120,WB123GN,22,2023,FPO,xxx,MOL,FPO_MOL,FPO_MOL_xxx,1
33124,WB123GN,23,2023,FPO,xxx,MOL,FPO_MOL,FPO_MOL_xxx,1
33134,WB123GN,28,2023,FPO,xxx,MOL,FPO_MOL,FPO_MOL_xxx,1
33136,WB123GN,30,2023,FPO,xxx,MOL,FPO_MOL,FPO_MOL_xxx,1
33137,WB123GN,31,2023,FPO,xxx,MOL,FPO_MOL,FPO_MOL_xxx,1
33240,PH223OT,2,2023,OTB,>=120,DEF,OTB_DEF,OTB_DEF_>=120,1
33253,WB123GN,24,2023,FPO,xxx,MOL,FPO_MOL,FPO_MOL_xxx,1
33344,PH223OT,7,2023,OTB,>=120,DEF,OTB_DEF,OTB_DEF_>=120,1
33454,PH223OT,11,2023,OTB,>=120,DEF,OTB_DEF,OTB_DEF_>=120,1
33527,BM1123BT,5,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
33547,BM1123BT,2,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
33578,BM1123BT,3,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
33591,BM1123BT,4,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
33608,BM1123BT,6,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
33631,BM1123BT,1,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
34045,BM1123BT,7,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
34099,PH223OT,1,2023,OTB,>=120,DEF,OTB_DEF,OTB_DEF_>=120,1
34327,BM1123BT,8,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
34394,PH223OT,3,2023,OTB,>=120,DEF,OTB_DEF,OTB_DEF_>=120,1
34524,BM123BT,3,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
34525,BM123BT,2,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
34527,BM123BT,44,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
34542,BM123BT,31,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
34546,BM123BT,41,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
34586,BM123BT,6,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
34680,BM123BT,25,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
34780,BM123BT,28,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
34786,BM123BT,29,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
34820,BM123BT,27,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
34893,BM123BT,37,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
34973,BM123BT,11,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
35010,BM123BT,12,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
35053,BM123BT,7,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
35092,BM123BT,40,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
35144,BM123BT,21,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
35147,BM123BT,24,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
35508,BM123BT,8,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
35652,BM123BT,16,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
35655,BM123BT,20,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
35741,BM123BT,32,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
35872,BM123BT,15,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
36244,BM123BT,36,2023,TBB,70-99,DEF,TBB_DEF,TBB_DEF_70-99,1
36865,PH123HL,1,2023,LHM,xxx,FIF,LHM_FIF,LHM_FIF_xxx,1
36866,EX323HL,3,2023,LHM,xxx,FIF,LHM_FIF,LHM_FIF_xxx,1
36870,PH123HL,3,2023,LHM,xxx,FIF,LHM_FIF,LHM_FIF_xxx,1
36876,PH123HL,7,2023,LHM,xxx,FIF,LHM_FIF,LHM_FIF_xxx,1
36877,PH123HL,11,2023,LHM,xxx,FIF,LHM_FIF,LHM_FIF_xxx,1
36880,EX323HL,8,2023,LHM,xxx,FIF,LHM_FIF,LHM_FIF_xxx,1
36883,PH123HL,12,2023,LHM,xxx,FIF,LHM_FIF,LHM_FIF_xxx,1
